profile,routine,canonical_name,api_class,signedness,operation,width,mean_cycles,min_cycles,max_cycles,cases,cycle_basis,reachable_code_bytes,zp_bytes,zp_ranges,stack_page_reserved_bytes,profile_prg_payload_span_bytes,profile_reu_image_bytes,profile_declared_shared_zp_bytes,implementation,notes
v2_pareto_fast,MATH_SEEK16_STEP_INT,seek_u16_u8_step_int,stable,unsigned,move toward target,"u16 x,u8 y per slot",103.654782,85,132,107309,2026-09-25 seek profile benchmark (408 moves x speeds; every frame verified),152,0,,0,49047,0,,X-indexed per-slot state; carries pre-biased into stored deltas; exact arrival,
v2_pareto_fast,MATH_SEEK16_STEP1,seek_u16_u8_step1,stable,unsigned,move toward target,"u16 x,u8 y per slot",98.183384,77,121,51324,2026-09-25 seek profile benchmark (408 moves x speeds; every frame verified),143,0,,0,49047,0,,NMOS DCP distance countdown; X-indexed per-slot state; exact arrival,
v3_reu_512k,MATH_UMUL8,mul_u8_u8_u16,stable,unsigned,multiply,8,69.000000,,,,REU transport model,49,0,,0,49047,524288,,profile-selected existing UMUL8 path; refreshed ZP record candidate rejected by profile resource contract,
v3_reu_512k,MATH_UMUL16,mul_u16_u16_u32,stable,unsigned,multiply,16,225.837200,214,249,5000,2026-09-14 record-upgrade deterministic comparison corpus,171,17,$21-$31,0,49047,524288,,17-ZP qualified record-derived fused quarter-square resident kernel (retained after refresh sweep),
v3_reu_512k,MATH_UMUL24,mul_u24_u24_u48,stable,unsigned,multiply,24,448.291800,418,503,5000,2026-09-14 record-upgrade deterministic comparison corpus,369,24,$21-$38,0,49047,524288,,24-ZP reverse_24zp_carry certified resident kernel (retained; refresh candidate did not win),
v3_reu_512k,MATH_UMUL32,mul_u32_u32_u64,stable,unsigned,multiply,32,712.235367,652,831,2409,2026-09-20 multiply-refresh deterministic cross-profile corpus,336,31,$02-$20,0,49047,524288,,FAST31/V29-derived private q0 unsigned producer; mixed-call-safe public binder,
v3_reu_512k,MATH_UMUL32_READY,mul_u32_u32_u64_ready,stable,unsigned,multiply-ready,32,697.175781,642,784,1024,2026-09-20 multiply-refresh deterministic cross-profile corpus,320,31,$02-$20,0,49047,524288,,FAST31/V29-derived private q0 unsigned producer; mixed-call-safe public binder,
v3_reu_512k,MATH_SMUL8,mul_s8_s8_s16,stable,signed,multiply,8,67.992188,66,70,65536,2026-09-20 multiply-refresh deterministic cross-profile corpus,46,0,,0,49047,524288,,direct signed-domain quarter-square kernel with private signed-sum planes,
v3_reu_512k,MATH_SMUL16,mul_s16_s16_s32,stable,signed,multiply,16,252.623962,230,293,4457,current native-signed multiply validation,217,116,$80-$F3,0,49047,524288,,116-ZP practical native signed quarter-square kernel (retained after FAST17 comparison),
v3_reu_512k,MATH_SMUL24,mul_s24_s24_s48,stable,signed,multiply,24,486.816106,430,546,2409,current native-signed multiply validation,473,24,$21-$38,0,49047,524288,,FAST24 four-quadrant native signed composition; immutable quarter-square tables shared,
v3_reu_512k,MATH_SMUL32,mul_s32_s32_s64,stable,signed,multiply,32,744.033209,660,873,2409,current native-signed multiply validation,1406,31,$02-$20,0,49047,524288,,FAST31/V29 native signed quadrant composition; mixed-call-safe public path,
v3_reu_512k,MATH_SMUL32_READY,mul_s32_s32_s64_ready,stable,signed,multiply-ready,32,728.544922,648,809,1024,current native-signed multiply validation,1387,31,$02-$20,0,49047,524288,,FAST31/V29 native signed quadrant composition; mixed-call-safe public path,
v3_reu_512k,MATH_UDIV8,div_u8_u8_u8_8,stable,unsigned,divide,8,70.863281,36,71,65536,2026-09-20 unsigned division-family validation,61,0,,0,49047,524288,,direct-public 8-bit divider; quotient/remainder produced in stable I/O without marshalling,exhaustive
v3_reu_512k,MATH_UDIV16,div_u16_u16_u16_16,stable,unsigned,divide,16,125.423943,41,1076,4753,2026-09-20 unsigned division-family validation,1469,0,,0,49047,524288,,fast direct-public 16-bit divider,structured_random
v3_reu_512k,MATH_UDIV24,div_u24_u24_u24_24,stable,unsigned,divide,24,191.745424,56,3188,4753,2026-09-20 unsigned division-family validation,1468,3,$10-$12,0,49047,524288,,Repose q0-counter/direct-public UDIV24,structured_random
v3_reu_512k,MATH_UDIV32_16,div_u32_u16_u32_16,stable,unsigned,divide,32/16,755.944246,175,1880,4753,2026-09-20 unsigned division-family validation,1890,12,$10-$1B,0,49047,524288,,profile-selected native 32/16 divider,structured_random
v3_reu_512k,MATH_UMOD8,mod_u8_u8_u8,stable,unsigned,modulo,8,49.712110,32,50,1313,2026-09-20 unsigned division-family validation,42,0,,0,49047,524288,,REU direct remainder plane retained; direct-public UDIV8 selected separately,
v3_reu_512k,MATH_UMOD16,mod_u16_u16_u16,stable,unsigned,modulo,16,203.396008,41,1076,1553,2026-09-20 unsigned division-family validation,1469,0,,0,49047,524288,,fast direct-public 16-bit divider,
v3_reu_512k,MATH_UMOD24,mod_u24_u24_u24,stable,unsigned,modulo,24,302.914359,56,3188,1553,2026-09-20 unsigned division-family validation,1468,3,$10-$12,0,49047,524288,,Repose q0-counter/direct-public UDIV24,
v3_reu_512k,MATH_UMOD32_16,mod_u32_u16_u16,stable,unsigned,modulo,32/16,789.650998,178,1883,1553,2026-09-20 unsigned division-family validation,1893,12,$10-$1B,0,49047,524288,,profile-selected native 32/16 divider,
v3_reu_512k,MATH_SDIV8,div_s8_s8_s8_8,stable,signed,divide,8,88.372650,26,600,65536,current native-signed division validation,533,1,$10,0,49047,524288,,direct-output native signed 8-bit divider; executable-disjoint from UDIV8,exhaustive
v3_reu_512k,MATH_SDIV16,div_s16_s16_s16_16,stable,signed,divide,16,171.806325,54,1159,4585,current native-signed division validation,1771,4,$10-$13,0,49047,524288,,fast direct-output native signed 16-bit divider,structured_random
v3_reu_512k,MATH_SDIV24,div_s24_s24_s24_24,stable,signed,divide,24,236.810251,68,3314,4585,current native-signed division validation,1894,9,$10-$18,0,49047,524288,,Repose-derived direct-output native signed 24-bit divider with private magnitude engine,structured_random
v3_reu_512k,MATH_SDIV32_16,div_s32_s16_s32_16,stable,signed,divide,32/16,833.572737,166,1973,4585,current native-signed division validation,2122,12,$44-$4F,0,49047,524288,,direct-output native signed 32/16 divider,structured_random
v3_reu_512k,MATH_SMOD8,mod_s8_s8_s8,stable,signed,modulo/remainder,8,97.152344,26,598,1280,current native-signed division validation,533,1,$10,0,49047,524288,,direct-output native signed 8-bit divider; executable-disjoint from UDIV8,
v3_reu_512k,MATH_SMOD16,mod_s16_s16_s16,stable,signed,modulo/remainder,16,235.588448,54,1159,1385,current native-signed division validation,1771,4,$10-$13,0,49047,524288,,fast direct-output native signed 16-bit divider,
v3_reu_512k,MATH_SMOD24,mod_s24_s24_s24,stable,signed,modulo/remainder,24,329.971841,68,3314,1385,current native-signed division validation,1894,9,$10-$18,0,49047,524288,,Repose-derived direct-output native signed 24-bit divider with private magnitude engine,
v3_reu_512k,MATH_SMOD32_16,mod_s32_s16_s16,stable,signed,modulo/remainder,32/16,863.249097,169,1976,1385,current native-signed division validation,2125,12,$44-$4F,0,49047,524288,,direct-output native signed 32/16 divider,
v3_reu_512k,MATH_UDIV32_32,div_u32_u32_u32_32,stable,unsigned,divide,32/32,395.884576,90,2285,6801,2026-09-20 unsigned division-family validation,869,8,$53-$5A,0,49047,524288,,native tiered 32/32 divider with early q=0 gate,structured_random
v3_reu_512k,MATH_UMOD32_32,mod_u32_u32_u32,stable,unsigned,modulo,32/32,518.802962,90,2285,1553,2026-09-20 unsigned division-family validation,869,8,$53-$5A,0,49047,524288,,native tiered 32/32 divider with early q=0 gate,
v3_reu_512k,MATH_SDIV32_32,div_s32_s32_s32_32,stable,signed,divide,32/32,552.481381,75,2384,6633,current native-signed division validation,894,10,$53-$5C,0,49047,524288,,native signed 32/32 magnitude path with redundant zero-test removed,structured_random
v3_reu_512k,MATH_SMOD32_32,mod_s32_s32_s32,stable,signed,modulo/remainder,32/32,742.016606,75,2384,1385,current native-signed division validation,894,10,$53-$5C,0,49047,524288,,native signed 32/32 magnitude path with redundant zero-test removed,
v3_reu_512k,MATH_UMUL16_SHR8,mul_u16_u16_u24_shr8,stable,unsigned,fixed multiply shift,16x16 >> 8,266.965600,255,290,5000,2026-09-14 post-upgrade deterministic comparison corpus,197,17,$21-$31,0,49047,524288,,profile-selected resident implementation,
v3_reu_512k,MATH_SMUL16_SHR8,mul_s16_s16_s24_shr8,stable,signed,fixed multiply shift,16x16 >> 8,293.411374,271,334,4361,2026-09-20 multiply-refresh deterministic cross-profile corpus,243,116,$80-$F3,0,49047,524288,,116-ZP practical native SMUL16 plus SHR8 extraction,
v3_reu_512k,MATH_UMUL32_SHR16,mul_u32_u32_u48_shr16,stable,unsigned,fixed multiply shift,32x32 >> 16,779.876404,717,896,4361,2026-09-20 multiply-refresh deterministic cross-profile corpus,380,31,$02-$20,0,49047,524288,,FAST31/V29-derived UMUL32 producer plus existing SHR16 extraction,
v3_reu_512k,MATH_SMUL32_SHR16,mul_s32_s32_s48_shr16,stable,signed,fixed multiply shift,32x32 >> 16,812.998853,725,938,4361,2026-09-20 multiply-refresh deterministic cross-profile corpus,1450,31,$02-$20,0,49047,524288,,FAST31/V29 SMUL32 producer plus existing SHR16 extraction,
v3_reu_512k,MATH_UDIV16_SHL8,div_u16_u16_u24_16_shl8,stable,unsigned,fixed divide shift,(16 << 8)/16,764.339154,272,1849,4753,2026-09-20 unsigned division-family validation,1957,16,$10-$1B;$53-$56,0,49047,524288,,fixed-point adapter into selected unsigned 32/16 divider,structured_random
v3_reu_512k,MATH_SDIV16_SHL8,div_s16_s16_s24_16_shl8,stable,signed,fixed divide shift,(16 << 8)/16,832.687023,266,1908,4585,current native-signed division validation,2195,16,$44-$4F;$53-$56,0,49047,524288,,fixed-point adapter into selected native signed 32/16 divider,structured_random
v3_reu_512k,MATH_URECIP16_Q16,recip_u16_u24_q16,stable,unsigned,reciprocal,Q16 from d16,66.233795,41,239,65536,2026-09-20 unsigned division-family validation,430,0,,0,49047,524288,,exact reciprocal ladder with selected profile division fallback,exhaustive
v3_reu_512k,MATH_SIN8,sin_u8_s8,stable,signed,trig sine,phase8 -> s8,23.000000,23,23,256,current exhaustive/profile game-math benchmark,14,0,,0,49047,524288,,profile-selected resident implementation,
v3_reu_512k,MATH_COS8,cos_u8_s8,stable,signed,trig cosine,phase8 -> s8,23.000000,23,23,256,current exhaustive/profile game-math benchmark,14,0,,0,49047,524288,,profile-selected resident implementation,
v3_reu_512k,MATH_SINCOS8,sincos_u8_s8_s8,stable,signed,trig sincos,phase8 -> 2xs8,31.000000,31,31,256,current exhaustive/profile game-math benchmark,20,0,,0,49047,524288,,profile-selected resident implementation,
v3_reu_512k,MATH_ATAN2_8,atan2_s8_s8_u8,stable,signed,angle,"atan2(s8,s8) -> phase8",44.962814,29,47,65536,current exhaustive/profile game-math benchmark,88,0,,0,49047,524288,,sum_fast carry-clearing signed-log kernel; four table pages; exact parity with prior fast outputs,
v3_reu_512k,MATH_ISQRT16,isqrt_u16_u16,stable,unsigned,integer square root,16 -> 16,204.992523,192,246,65536,current exhaustive/profile game-math benchmark,259,1,$66,0,49047,524288,,profile-selected resident implementation,
v3_reu_512k,MATH_ISQRT32,isqrt_u32_u16,stable,unsigned,integer square root,32 -> 16,1197.859322,1051,1428,4130,current exhaustive/profile game-math benchmark,440,10,$54-$5C;$66,0,49047,524288,,profile-selected resident implementation,
v3_reu_512k,MATH_DIST8_FAST,dist_s8_s8_u8_fast,stable,signed,distance approximation,"s8,s8 -> u8",79.070038,63,95,65536,current exhaustive/profile game-math benchmark,58,2,$5D-$5E,0,49047,524288,,profile-selected resident implementation,
v3_reu_512k,MATH_DIST8_ACCURATE,dist_s8_s8_u8_accurate,stable,signed,distance approximation,"s8,s8 -> u8",85.070038,69,101,65536,current exhaustive/profile game-math benchmark,63,2,$5D-$5E,0,49047,524288,,profile-selected resident implementation,
v3_reu_512k,MATH_VEC2_NORMALIZE_Q8_8,normalize_s16_s16_s16_s16_q8_8_to_q1_15,stable,signed,vector normalize,2xs16 Q8.8 -> 2xs16 Q1.15,156.661198,84,298,107396,2026-09-21 normalize profile-parity deterministic corpus,849,4,$1A-$1D,0,49047,524288,,quadrant-specific paths; existing REU ratio-index lookup,Q8.8 -> Q1.15; certified <=0.3621 deg / <=202 LSB; quadrant-specific paths
v3_reu_512k,MATH_SEEK8_INIT,seek_u8_u8_init,stable,unsigned,move toward target,"u8 x,u8 y target; Q8.8 speed",544.686887,137,890,4896,2026-09-25 seek profile benchmark (408 moves x speeds; every frame verified),392,14,$53-$5F;$65,0,49047,524288,,exact bulk-Bresenham DDA setup; no multiply/divide; init scratch in game-scratch ZP,"major-axis speed 337.11, Euclidean 752.27, integer 311.01, 1 px/frame 279.87"
v3_reu_512k,MATH_SEEK8_STEP,seek_u8_u8_step,stable,unsigned,move toward target,"u8 x,u8 y per slot",87.136511,77,91,453020,2026-09-25 seek profile benchmark (408 moves x speeds; every frame verified),176,0,,0,49047,524288,,X-indexed per-slot state; carries pre-biased into stored deltas; exact arrival,
v3_reu_512k,MATH_SEEK8_STEP_INT,seek_u8_u8_step_int,stable,unsigned,move toward target,"u8 x,u8 y per slot",70.992770,61,74,94048,2026-09-25 seek profile benchmark (408 moves x speeds; every frame verified),96,0,,0,49047,524288,,X-indexed per-slot state; carries pre-biased into stored deltas; exact arrival,
v3_reu_512k,MATH_SEEK8_STEP1,seek_u8_u8_step1,stable,unsigned,move toward target,"u8 x,u8 y per slot",65.953959,54,69,44960,2026-09-25 seek profile benchmark (408 moves x speeds; every frame verified),91,0,,0,49047,524288,,NMOS DCP distance countdown; X-indexed per-slot state; exact arrival,
v3_reu_512k,MATH_SEEK16_INIT,seek_u16_u8_init,stable,unsigned,move toward target,"u16 x,u8 y target; Q8.8 speed",701.543505,187,1150,4896,2026-09-25 seek profile benchmark (408 moves x speeds; every frame verified),503,18,$53-$64,0,49047,524288,,exact bulk-Bresenham DDA setup; no multiply/divide; init scratch in game-scratch ZP,"major-axis speed 477.95, Euclidean 925.13, integer 456.21, 1 px/frame 381.68"
v3_reu_512k,MATH_SEEK16_STEP,seek_u16_u8_step,stable,unsigned,move toward target,"u16 x,u8 y per slot",118.277360,102,150,514923,2026-09-25 seek profile benchmark (408 moves x speeds; every frame verified),282,0,,0,49047,524288,,X-indexed per-slot state; carries pre-biased into stored deltas; exact arrival,
v3_reu_512k,MATH_SEEK16_STEP_INT,seek_u16_u8_step_int,stable,unsigned,move toward target,"u16 x,u8 y per slot",103.654782,85,132,107309,2026-09-25 seek profile benchmark (408 moves x speeds; every frame verified),152,0,,0,49047,524288,,X-indexed per-slot state; carries pre-biased into stored deltas; exact arrival,
v3_reu_512k,MATH_SEEK16_STEP1,seek_u16_u8_step1,stable,unsigned,move toward target,"u16 x,u8 y per slot",98.183384,77,121,51324,2026-09-25 seek profile benchmark (408 moves x speeds; every frame verified),143,0,,0,49047,524288,,NMOS DCP distance countdown; X-indexed per-slot state; exact arrival,
v4_reu_16m,MATH_UMUL8,mul_u8_u8_u16,stable,unsigned,multiply,8,69.000000,,,,unchanged V3 path/evidence,49,0,,0,49047,16777216,,profile-selected existing UMUL8 path; refreshed ZP record candidate rejected by profile resource contract,
v4_reu_16m,MATH_UMUL16,mul_u16_u16_u32,stable,unsigned,multiply,16,225.837200,214,249,5000,2026-09-14 record-upgrade deterministic comparison corpus,171,17,$21-$31,0,49047,16777216,,17-ZP qualified record-derived fused quarter-square resident kernel (retained after refresh sweep),
v4_reu_16m,MATH_UMUL24,mul_u24_u24_u48,stable,unsigned,multiply,24,448.291800,418,503,5000,2026-09-14 record-upgrade deterministic comparison corpus,369,24,$21-$38,0,49047,16777216,,24-ZP reverse_24zp_carry certified resident kernel (retained; refresh candidate did not win),
v4_reu_16m,MATH_UMUL32,mul_u32_u32_u64,stable,unsigned,multiply,32,712.235367,652,831,2409,2026-09-20 multiply-refresh deterministic cross-profile corpus,336,31,$02-$20,0,49047,16777216,,FAST31/V29-derived private q0 unsigned producer; mixed-call-safe public binder,
v4_reu_16m,MATH_UMUL32_READY,mul_u32_u32_u64_ready,stable,unsigned,multiply-ready,32,697.175781,642,784,1024,2026-09-20 multiply-refresh deterministic cross-profile corpus,320,31,$02-$20,0,49047,16777216,,FAST31/V29-derived private q0 unsigned producer; mixed-call-safe public binder,
v4_reu_16m,MATH_SMUL8,mul_s8_s8_s16,stable,signed,multiply,8,67.992188,66,70,65536,2026-09-20 multiply-refresh deterministic cross-profile corpus,46,0,,0,49047,16777216,,direct signed-domain quarter-square kernel with private signed-sum planes,
v4_reu_16m,MATH_SMUL16,mul_s16_s16_s32,stable,signed,multiply,16,252.662553,230,293,4457,current native-signed multiply validation,217,116,$80-$F3,0,49047,16777216,,116-ZP practical native signed quarter-square kernel (retained after FAST17 comparison),
v4_reu_16m,MATH_SMUL24,mul_s24_s24_s48,stable,signed,multiply,24,487.220008,430,550,2409,current native-signed multiply validation,473,24,$21-$38,0,49047,16777216,,FAST24 four-quadrant native signed composition; immutable quarter-square tables shared,
v4_reu_16m,MATH_SMUL32,mul_s32_s32_s64,stable,signed,multiply,32,744.090079,660,873,2409,current native-signed multiply validation,1406,31,$02-$20,0,49047,16777216,,FAST31/V29 native signed quadrant composition; mixed-call-safe public path,
v4_reu_16m,MATH_SMUL32_READY,mul_s32_s32_s64_ready,stable,signed,multiply-ready,32,726.368164,643,825,1024,current native-signed multiply validation,1387,31,$02-$20,0,49047,16777216,,FAST31/V29 native signed quadrant composition; mixed-call-safe public path,
v4_reu_16m,MATH_UDIV8,div_u8_u8_u8_8,stable,unsigned,divide,8,70.863281,36,71,65536,2026-09-20 unsigned division-family validation,61,0,,0,49047,16777216,,direct-public 8-bit divider; quotient/remainder produced in stable I/O without marshalling,exhaustive
v4_reu_16m,MATH_UDIV16,div_u16_u16_u16_16,stable,unsigned,divide,16,125.625710,41,1076,4753,2026-09-20 unsigned division-family validation,1469,0,,0,49047,16777216,,fast direct-public 16-bit divider,structured_random
v4_reu_16m,MATH_UDIV24,div_u24_u24_u24_24,stable,unsigned,divide,24,187.307174,56,3188,4753,2026-09-20 unsigned division-family validation,1468,3,$10-$12,0,49047,16777216,,Repose q0-counter/direct-public UDIV24,structured_random
v4_reu_16m,MATH_UDIV32_16,div_u32_u16_u32_16,stable,unsigned,divide,32/16,757.480328,175,1880,4753,2026-09-20 unsigned division-family validation,1890,12,$10-$1B,0,49047,16777216,,profile-selected native 32/16 divider,structured_random
v4_reu_16m,MATH_UMOD8,mod_u8_u8_u8,stable,unsigned,modulo,8,49.725819,32,50,1313,2026-09-20 unsigned division-family validation,42,0,,0,49047,16777216,,REU direct remainder plane retained; direct-public UDIV8 selected separately,
v4_reu_16m,MATH_UMOD16,mod_u16_u16_u16,stable,unsigned,modulo,16,202.557630,41,1076,1553,2026-09-20 unsigned division-family validation,1469,0,,0,49047,16777216,,fast direct-public 16-bit divider,
v4_reu_16m,MATH_UMOD24,mod_u24_u24_u24,stable,unsigned,modulo,24,301.613007,56,3188,1553,2026-09-20 unsigned division-family validation,1468,3,$10-$12,0,49047,16777216,,Repose q0-counter/direct-public UDIV24,
v4_reu_16m,MATH_UMOD32_16,mod_u32_u16_u16,stable,unsigned,modulo,32/16,789.841597,178,1883,1553,2026-09-20 unsigned division-family validation,1893,12,$10-$1B,0,49047,16777216,,profile-selected native 32/16 divider,
v4_reu_16m,MATH_SDIV8,div_s8_s8_s8_8,stable,signed,divide,8,89.009821,26,598,4480,current native-signed division validation,533,1,$10,0,49047,16777216,,direct-output native signed 8-bit divider; executable-disjoint from UDIV8,structured_random
v4_reu_16m,MATH_SDIV16,div_s16_s16_s16_16,stable,signed,divide,16,169.754198,54,1159,4585,current native-signed division validation,1771,4,$10-$13,0,49047,16777216,,fast direct-output native signed 16-bit divider,structured_random
v4_reu_16m,MATH_SDIV24,div_s24_s24_s24_24,stable,signed,divide,24,237.569466,68,3314,4585,current native-signed division validation,1894,9,$10-$18,0,49047,16777216,,Repose-derived direct-output native signed 24-bit divider with private magnitude engine,structured_random
v4_reu_16m,MATH_SDIV32_16,div_s32_s16_s32_16,stable,signed,divide,32/16,829.631189,166,1973,4585,current native-signed division validation,2122,12,$44-$4F,0,49047,16777216,,direct-output native signed 32/16 divider,structured_random
v4_reu_16m,MATH_SMOD8,mod_s8_s8_s8,stable,signed,modulo/remainder,8,99.020313,26,598,1280,current native-signed division validation,533,1,$10,0,49047,16777216,,direct-output native signed 8-bit divider; executable-disjoint from UDIV8,
v4_reu_16m,MATH_SMOD16,mod_s16_s16_s16,stable,signed,modulo/remainder,16,229.269314,54,1159,1385,current native-signed division validation,1771,4,$10-$13,0,49047,16777216,,fast direct-output native signed 16-bit divider,
v4_reu_16m,MATH_SMOD24,mod_s24_s24_s24,stable,signed,modulo/remainder,24,326.184838,68,3314,1385,current native-signed division validation,1894,9,$10-$18,0,49047,16777216,,Repose-derived direct-output native signed 24-bit divider with private magnitude engine,
v4_reu_16m,MATH_SMOD32_16,mod_s32_s16_s16,stable,signed,modulo/remainder,32/16,861.002888,169,1976,1385,current native-signed division validation,2125,12,$44-$4F,0,49047,16777216,,direct-output native signed 32/16 divider,
v4_reu_16m,MATH_UDIV32_32,div_u32_u32_u32_32,stable,unsigned,divide,32/32,404.408910,90,2285,6801,2026-09-20 unsigned division-family validation,869,8,$53-$5A,0,49047,16777216,,native tiered 32/32 divider with early q=0 gate,structured_random
v4_reu_16m,MATH_UMOD32_32,mod_u32_u32_u32,stable,unsigned,modulo,32/32,516.780425,90,2285,1553,2026-09-20 unsigned division-family validation,869,8,$53-$5A,0,49047,16777216,,native tiered 32/32 divider with early q=0 gate,
v4_reu_16m,MATH_SDIV32_32,div_s32_s32_s32_32,stable,signed,divide,32/32,552.840042,75,2384,6633,current native-signed division validation,894,10,$53-$5C,0,49047,16777216,,native signed 32/32 magnitude path with redundant zero-test removed,structured_random
v4_reu_16m,MATH_SMOD32_32,mod_s32_s32_s32,stable,signed,modulo/remainder,32/32,754.883032,75,2384,1385,current native-signed division validation,894,10,$53-$5C,0,49047,16777216,,native signed 32/32 magnitude path with redundant zero-test removed,
v4_reu_16m,MATH_UMUL16_SHR8,mul_u16_u16_u24_shr8,stable,unsigned,fixed multiply shift,16x16 >> 8,266.965600,255,290,5000,2026-09-14 post-upgrade deterministic comparison corpus,197,17,$21-$31,0,49047,16777216,,profile-selected resident implementation,
v4_reu_16m,MATH_SMUL16_SHR8,mul_s16_s16_s24_shr8,stable,signed,fixed multiply shift,16x16 >> 8,293.411374,271,334,4361,2026-09-20 multiply-refresh deterministic cross-profile corpus,243,116,$80-$F3,0,49047,16777216,,116-ZP practical native SMUL16 plus SHR8 extraction,
v4_reu_16m,MATH_UMUL32_SHR16,mul_u32_u32_u48_shr16,stable,unsigned,fixed multiply shift,32x32 >> 16,779.876404,717,896,4361,2026-09-20 multiply-refresh deterministic cross-profile corpus,380,31,$02-$20,0,49047,16777216,,FAST31/V29-derived UMUL32 producer plus existing SHR16 extraction,
v4_reu_16m,MATH_SMUL32_SHR16,mul_s32_s32_s48_shr16,stable,signed,fixed multiply shift,32x32 >> 16,812.998853,725,938,4361,2026-09-20 multiply-refresh deterministic cross-profile corpus,1450,31,$02-$20,0,49047,16777216,,FAST31/V29 SMUL32 producer plus existing SHR16 extraction,
v4_reu_16m,MATH_UDIV16_SHL8,div_u16_u16_u24_16_shl8,stable,unsigned,fixed divide shift,(16 << 8)/16,764.628235,272,1849,4753,2026-09-20 unsigned division-family validation,1957,16,$10-$1B;$53-$56,0,49047,16777216,,fixed-point adapter into selected unsigned 32/16 divider,structured_random
v4_reu_16m,MATH_SDIV16_SHL8,div_s16_s16_s24_16_shl8,stable,signed,fixed divide shift,(16 << 8)/16,831.029880,266,1908,4585,current native-signed division validation,2195,16,$44-$4F;$53-$56,0,49047,16777216,,fixed-point adapter into selected native signed 32/16 divider,structured_random
v4_reu_16m,MATH_URECIP16_Q16,recip_u16_u24_q16,stable,unsigned,reciprocal,Q16 from d16,66.233795,41,239,65536,2026-09-20 unsigned division-family validation,430,0,,0,49047,16777216,,exact reciprocal ladder with selected profile division fallback,exhaustive
v4_reu_16m,MATH_SIN8,sin_u8_s8,stable,signed,trig sine,phase8 -> s8,23.000000,23,23,256,current exhaustive/profile game-math benchmark,14,0,,0,49047,16777216,,profile-selected resident implementation,
v4_reu_16m,MATH_COS8,cos_u8_s8,stable,signed,trig cosine,phase8 -> s8,23.000000,23,23,256,current exhaustive/profile game-math benchmark,14,0,,0,49047,16777216,,profile-selected resident implementation,
v4_reu_16m,MATH_SINCOS8,sincos_u8_s8_s8,stable,signed,trig sincos,phase8 -> 2xs8,31.000000,31,31,256,current exhaustive/profile game-math benchmark,20,0,,0,49047,16777216,,profile-selected resident implementation,
v4_reu_16m,MATH_ATAN2_8,atan2_s8_s8_u8,stable,signed,angle,"atan2(s8,s8) -> phase8",48.000000,48,48,65536,current exhaustive/profile game-math benchmark,33,0,,0,49047,16777216,,exact signed-byte phase plane in REU bank 8,
v4_reu_16m,MATH_ISQRT16,isqrt_u16_u16,stable,unsigned,integer square root,16 -> 16,54.000000,54,54,65536,current exhaustive/profile game-math benchmark,38,0,,0,49047,16777216,,profile-selected resident implementation,
v4_reu_16m,MATH_ISQRT32,isqrt_u32_u16,stable,unsigned,integer square root,32 -> 16,1046.622518,899,1237,4130,current exhaustive/profile game-math benchmark,219,9,$54-$5C,0,49047,16777216,,profile-selected resident implementation,
v4_reu_16m,MATH_DIST8_FAST,dist_s8_s8_u8_fast,stable,signed,distance approximation,"s8,s8 -> u8",79.070038,63,95,65536,current exhaustive/profile game-math benchmark,58,2,$5D-$5E,0,49047,16777216,,profile-selected resident implementation,
v4_reu_16m,MATH_DIST8_ACCURATE,dist_s8_s8_u8_accurate,stable,signed,distance approximation,"s8,s8 -> u8",85.070038,69,101,65536,current exhaustive/profile game-math benchmark,63,2,$5D-$5E,0,49047,16777216,,profile-selected resident implementation,
v4_reu_16m,MATH_VEC2_NORMALIZE_Q8_8,normalize_s16_s16_s16_s16_q8_8_to_q1_15,stable,signed,vector normalize,2xs16 Q8.8 -> 2xs16 Q1.15,156.661198,84,298,107396,2026-09-21 normalize profile-parity deterministic corpus,849,4,$1A-$1D,0,49047,16777216,,quadrant-specific paths; existing REU ratio-index lookup,Q8.8 -> Q1.15; certified <=0.3621 deg / <=202 LSB; quadrant-specific paths
v4_reu_16m,MATH_SEEK8_INIT,seek_u8_u8_init,stable,unsigned,move toward target,"u8 x,u8 y target; Q8.8 speed",544.686887,137,890,4896,2026-09-25 seek profile benchmark (408 moves x speeds; every frame verified),392,14,$53-$5F;$65,0,49047,16777216,,exact bulk-Bresenham DDA setup; no multiply/divide; init scratch in game-scratch ZP,"major-axis speed 337.11, Euclidean 752.27, integer 311.01, 1 px/frame 279.87"
v4_reu_16m,MATH_SEEK8_STEP,seek_u8_u8_step,stable,unsigned,move toward target,"u8 x,u8 y per slot",87.136511,77,91,453020,2026-09-25 seek profile benchmark (408 moves x speeds; every frame verified),176,0,,0,49047,16777216,,X-indexed per-slot state; carries pre-biased into stored deltas; exact arrival,
v4_reu_16m,MATH_SEEK8_STEP_INT,seek_u8_u8_step_int,stable,unsigned,move toward target,"u8 x,u8 y per slot",70.992770,61,74,94048,2026-09-25 seek profile benchmark (408 moves x speeds; every frame verified),96,0,,0,49047,16777216,,X-indexed per-slot state; carries pre-biased into stored deltas; exact arrival,
v4_reu_16m,MATH_SEEK8_STEP1,seek_u8_u8_step1,stable,unsigned,move toward target,"u8 x,u8 y per slot",65.953959,54,69,44960,2026-09-25 seek profile benchmark (408 moves x speeds; every frame verified),91,0,,0,49047,16777216,,NMOS DCP distance countdown; X-indexed per-slot state; exact arrival,
